fp,fn,Average_validation_accuracy,STD_validation_accuracy
0.02,0.02,0.746666658,0.046427959
0.02,0.028888889,0.723333335,0.074236856
0.02,0.037777778,0.753333342,0.050990189
0.02,0.046666667,0.713333344,0.057154753
0.02,0.055555556,0.75333333,0.087812932
0.02,0.064444444,0.70666666,0.071956776
0.02,0.073333333,0.736666667,0.038586128
0.02,0.082222222,0.733333325,0.03496029
0.02,0.091111111,0.65333333,0.045215519
0.02,0.1,0.713333344,0.074087034
0.028888889,0.02,0.780000007,0.074833166
0.028888889,0.028888889,0.710000002,0.020000009
0.028888889,0.037777778,0.703333318,0.055176497
0.028888889,0.046666667,0.679999995,0.032317852
0.028888889,0.055555556,0.760000014,0.020000009
0.028888889,0.064444444,0.619999993,0.037118416
0.028888889,0.073333333,0.773333335,0.016996741
0.028888889,0.082222222,0.686666667,0.032317872
0.028888889,0.091111111,0.716666663,0.052704638
0.028888889,0.1,0.65333333,0.03999999
0.037777778,0.02,0.736666656,0.060918892
0.037777778,0.028888889,0.669999981,0.057154753
0.037777778,0.037777778,0.703333342,0.060000014
0.037777778,0.046666667,0.713333321,0.038586128
0.037777778,0.055555556,0.69000001,0.084063465
0.037777778,0.064444444,0.64000001,0.030912059
0.037777778,0.073333333,0.646666658,0.032317855
0.037777778,0.082222222,0.653333342,0.082596746
0.037777778,0.091111111,0.64000001,0.060184903
0.037777778,0.1,0.660000002,0.040276827
0.046666667,0.02,0.643333328,0.042946998
0.046666667,0.028888889,0.656666648,0.044221665
0.046666667,0.037777778,0.64333334,0.035901091
0.046666667,0.046666667,0.663333333,0.061824111
0.046666667,0.055555556,0.7,0.029814231
0.046666667,0.064444444,0.670000005,0.052068324
0.046666667,0.073333333,0.60999999,0.035901093
0.046666667,0.082222222,0.606666684,0.047842325
0.046666667,0.091111111,0.629999995,0.033993466
0.046666667,0.1,0.636666656,0.043969681
0.055555556,0.02,0.60333333,0.062716304
0.055555556,0.028888889,0.599999988,0.029814238
0.055555556,0.037777778,0.69333334,0.064635739
0.055555556,0.046666667,0.59666667,0.062716292
0.055555556,0.055555556,0.653333342,0.066999167
0.055555556,0.064444444,0.636666667,0.078457352
0.055555556,0.073333333,0.650000012,0.078881049
0.055555556,0.082222222,0.670000005,0.042687497
0.055555556,0.091111111,0.633333349,0.069121466
0.055555556,0.1,0.603333342,0.053124598
0.064444444,0.02,0.589999998,0.054365029
0.064444444,0.028888889,0.623333323,0.047842331
0.064444444,0.037777778,0.599999988,0.047140453
0.064444444,0.046666667,0.616666663,0.050552494
0.064444444,0.055555556,0.620000005,0.100774755
0.064444444,0.064444444,0.653333318,0.085893988
0.064444444,0.073333333,0.65,0.03944054
0.064444444,0.082222222,0.60999999,0.047842335
0.064444444,0.091111111,0.589999998,0.034318759
0.064444444,0.1,0.643333328,0.064635714
0.073333333,0.02,0.639999992,0.080000004
0.073333333,0.028888889,0.610000002,0.016996734
0.073333333,0.037777778,0.610000002,0.035901107
0.073333333,0.046666667,0.606666666,0.076448972
0.073333333,0.055555556,0.676666665,0.060184911
0.073333333,0.064444444,0.603333342,0.074833133
0.073333333,0.073333333,0.663333333,0.065319724
0.073333333,0.082222222,0.636666656,0.054160256
0.073333333,0.091111111,0.596666658,0.024494902
0.073333333,0.1,0.623333347,0.024944379
0.082222222,0.02,0.613333333,0.03559027
0.082222222,0.028888889,0.613333333,0.024494889
0.082222222,0.037777778,0.60333333,0.057154767
0.082222222,0.046666667,0.64000001,0.073484682
0.082222222,0.055555556,0.583333337,0.050552498
0.082222222,0.064444444,0.633333325,0.071492042
0.082222222,0.073333333,0.6,0.078881069
0.082222222,0.082222222,0.65,0.05773503
0.082222222,0.091111111,0.656666672,0.050110987
0.082222222,0.1,0.60999999,0.054365029
0.091111111,0.02,0.59000001,0.020000009
0.091111111,0.028888889,0.669999993,0.035590251
0.091111111,0.037777778,0.670000005,0.068637536
0.091111111,0.046666667,0.633333337,0.053748378
0.091111111,0.055555556,0.610000014,0.044221658
0.091111111,0.064444444,0.603333336,0.087177973
0.091111111,0.073333333,0.673333323,0.030912057
0.091111111,0.082222222,0.643333316,0.032659869
0.091111111,0.091111111,0.646666658,0.06271629
0.091111111,0.1,0.660000002,0.056371789
0.1,0.02,0.59666667,0.066164773
0.1,0.028888889,0.65333333,0.048762476
0.1,0.037777778,0.59000001,0.035901091
0.1,0.046666667,0.600000012,0.038005832
0.1,0.055555556,0.626666665,0.042947006
0.1,0.064444444,0.576666665,0.062003594
0.1,0.073333333,0.64666667,0.059066819
0.1,0.082222222,0.673333335,0.044221664
0.1,0.091111111,0.623333317,0.082056892
0.1,0.1,0.64333334,0.046666668
